索引	任务ID	前置任务ID	其他开启条件(多个条件#号分割）	接任务NPC	完成条件ID（多个条件#号分割）	奖励(多个用#隔开)	数量	提示图片	按钮显示的内容	显示的标题(#为空)	对话内容(#分页)	领取任务之后对话	完成任务对话	奖励名称多语言(多个用#隔开)		
587	2122105	2122104	@@@	20003	21221051	9000001	156160	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20003	taskold_20003	taskaffter_20003	taskcomplete_20003	fruitcoin_9000001		taskaffter_20003
588	2120705	2120704	@@@	20002	21207051	9000001	203000	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20002	taskold_20002	taskaffter_20002	taskcomplete_20002	fruitcoin_9000001		taskaffter_20002
589	1120204	1120203	@@@	20009	11202041	9000001	396800	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20009	taskold_20009	taskaffter_20009	taskcomplete_20009	fruitcoin_9000001		taskaffter_20009
590	2120106	2120105	@@@	20008	21201061	1041001	380	set:bird_icon.json image:g1041_coin_09	gui_dialog_tip_btn_sure	tastlang_id_20008	taskold_20008	taskaffter_20008	taskcomplete_20008	fruitcoin_9000001		taskaffter_20008
591	2122206	2122205	@@@	20007	21222061	9000001	206330	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20007	taskold_20007	taskaffter_20007	taskcomplete_20007	fruitcoin_9000001		taskaffter_20007
592	2122106	2122105	@@@	20003	21221061	9000001	158720	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20003	taskold_20003	taskaffter_20003	taskcomplete_20003	fruitcoin_9000001		taskaffter_20003
593	2120706	2120705	@@@	20002	21207061	9000001	206330	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20002	taskold_20002	taskaffter_20002	taskcomplete_20002	fruitcoin_9000001		taskaffter_20002
594	1120602	1120204	@@@	20009	11206021	9000001	403200	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20009	taskold_20009	taskaffter_20009	taskcomplete_20009	fruitcoin_9000001		taskaffter_20009
595	2120107	2120106	@@@	20008	21201071	1041010	45	set:bird_icon.json image:g1041_coin_13	gui_dialog_tip_btn_sure	tastlang_id_20008	taskold_20008	taskaffter_20008	taskcomplete_20008	fruitcoin_9000001		taskaffter_20008
596	2122207	2122206	@@@	20007	21222071	9000001	209660	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20007	taskold_20007	taskaffter_20007	taskcomplete_20007	fruitcoin_9000001		taskaffter_20007
597	2122107	2122106	@@@	20003	21221071	9000001	161280	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20003	taskold_20003	taskaffter_20003	taskcomplete_20003	fruitcoin_9000001		taskaffter_20003
598	2120707	2120706	@@@	20002	21207071	9000001	209660	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20002	taskold_20002	taskaffter_20002	taskcomplete_20002	fruitcoin_9000001		taskaffter_20002
599	1120205	1120602	@@@	20009	11202051	9000001	409600	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20009	taskold_20009	taskaffter_20009	taskcomplete_20009	fruitcoin_9000001		taskaffter_20009
600	2120108	2120107	@@@	20008	21201081	1041003	85	set:bird_icon.json image:g1041_coin_14	gui_dialog_tip_btn_sure	tastlang_id_20008	taskold_20008	taskaffter_20008	taskcomplete_20008	fruitcoin_9000001		taskaffter_20008
601	2122208	2122207	@@@	20007	21222081	9000001	212990	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20007	taskold_20007	taskaffter_20007	taskcomplete_20007	fruitcoin_9000001		taskaffter_20007
602	2122108	2122107	@@@	20003	21221081	9000001	163840	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20003	taskold_20003	taskaffter_20003	taskcomplete_20003	fruitcoin_9000001		taskaffter_20003
603	2120708	2120707	@@@	20002	21207081	9000001	212990	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20002	taskold_20002	taskaffter_20002	taskcomplete_20002	fruitcoin_9000001		taskaffter_20002
604	1120206	1120205	@@@	20009	11202061	9000001	416000	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20009	taskold_20009	taskaffter_20009	taskcomplete_20009	fruitcoin_9000001		taskaffter_20009
605	2120109	2120108	@@@	20008	21201091	1041004	95	set:bird_icon.json image:g1041_coin_15	gui_dialog_tip_btn_sure	tastlang_id_20008	taskold_20008	taskaffter_20008	taskcomplete_20008	fruitcoin_9000001		taskaffter_20008
606	2122209	2122208	@@@	20007	21222091	9000001	216320	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20007	taskold_20007	taskaffter_20007	taskcomplete_20007	fruitcoin_9000001		taskaffter_20007
607	2122109	2122108	@@@	20003	21221091	9000001	166400	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20003	taskold_20003	taskaffter_20003	taskcomplete_20003	fruitcoin_9000001		taskaffter_20003
608	2120709	2120708	@@@	20002	21207091	9000001	216320	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20002	taskold_20002	taskaffter_20002	taskcomplete_20002	fruitcoin_9000001		taskaffter_20002
609	1120207	1120206	@@@	20009	11202071	9000001	422400	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20009	taskold_20009	taskaffter_20009	taskcomplete_20009	fruitcoin_9000001		taskaffter_20009
610	2120110	2120109	@@@	20008	21201101	1041005	95	set:bird_icon.json image:g1041_coin_12	gui_dialog_tip_btn_sure	tastlang_id_20008	taskold_20008	taskaffter_20008	taskcomplete_20008	fruitcoin_9000001		taskaffter_20008
611	2122210	2122209	@@@	20007	21222101	9000001	219640	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20007	taskold_20007	taskaffter_20007	taskcomplete_20007	fruitcoin_9000001		taskaffter_20007
612	2122110	2122109	@@@	20003	21221101	9000001	168960	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20003	taskold_20003	taskaffter_20003	taskcomplete_20003	fruitcoin_9000001		taskaffter_20003
613	2120710	2120709	@@@	20002	21207101	9000001	219640	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20002	taskold_20002	taskaffter_20002	taskcomplete_20002	fruitcoin_9000001		taskaffter_20002
614	1120208	1120207	@@@	20009	11202081	9000001	428800	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20009	taskold_20009	taskaffter_20009	taskcomplete_20009	fruitcoin_9000001		taskaffter_20009
615	2120111	2120110	@@@	20008	21201111	1041006	100	set:bird_icon.json image:g1041_coin_11	gui_dialog_tip_btn_sure	tastlang_id_20008	taskold_20008	taskaffter_20008	taskcomplete_20008	fruitcoin_9000001		taskaffter_20008
616	2122211	2122210	@@@	20007	21222111	9000001	222970	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20007	taskold_20007	taskaffter_20007	taskcomplete_20007	fruitcoin_9000001		taskaffter_20007
617	2122111	2122110	@@@	20003	21221111	9000001	171520	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20003	taskold_20003	taskaffter_20003	taskcomplete_20003	fruitcoin_9000001		taskaffter_20003
618	2120711	2120710	@@@	20002	21207111	9000001	222970	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20002	taskold_20002	taskaffter_20002	taskcomplete_20002	fruitcoin_9000001		taskaffter_20002
619	1120209	1120208	@@@	20009	11202091	9000001	435200	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20009	taskold_20009	taskaffter_20009	taskcomplete_20009	fruitcoin_9000001		taskaffter_20009
620	2120112	2120111	@@@	20008	21201121	1041009	85	set:bird_icon.json image:g1041_coin_10	gui_dialog_tip_btn_sure	tastlang_id_20008	taskold_20008	taskaffter_20008	taskcomplete_20008	fruitcoin_9000001		taskaffter_20008
621	2122212	2122211	@@@	20007	21222121	9000001	226300	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20007	taskold_20007	taskaffter_20007	taskcomplete_20007	fruitcoin_9000001		taskaffter_20007
622	2122112	2122111	@@@	20003	21221121	9000001	174080	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20003	taskold_20003	taskaffter_20003	taskcomplete_20003	fruitcoin_9000001		taskaffter_20003
623	2120712	2120711	@@@	20002	21207121	9000001	226300	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20002	taskold_20002	taskaffter_20002	taskcomplete_20002	fruitcoin_9000001		taskaffter_20002
624	1120603	1120209	@@@	20009	11206031	9000001	441600	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20009	taskold_20009	taskaffter_20009	taskcomplete_20009	fruitcoin_9000001		taskaffter_20009
625	2120113	2120112	@@@	20008	21201131	1041010	50	set:bird_icon.json image:g1041_coin_13	gui_dialog_tip_btn_sure	tastlang_id_20008	taskold_20008	taskaffter_20008	taskcomplete_20008	fruitcoin_9000001		taskaffter_20008
626	2122213	2122212	@@@	20007	21222131	9000001	229630	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20007	taskold_20007	taskaffter_20007	taskcomplete_20007	fruitcoin_9000001		taskaffter_20007
627	2122113	2122112	@@@	20003	21221131	9000001	176640	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20003	taskold_20003	taskaffter_20003	taskcomplete_20003	fruitcoin_9000001		taskaffter_20003
628	2120713	2120712	@@@	20002	21207131	9000001	229630	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20002	taskold_20002	taskaffter_20002	taskcomplete_20002	fruitcoin_9000001		taskaffter_20002
629	1120210	1120603	@@@	20009	11202101	9000001	448000	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20009	taskold_20009	taskaffter_20009	taskcomplete_20009	fruitcoin_9000001		taskaffter_20009
630	2120114	2120113	@@@	20008	21201141	1041003	90	set:bird_icon.json image:g1041_coin_14	gui_dialog_tip_btn_sure	tastlang_id_20008	taskold_20008	taskaffter_20008	taskcomplete_20008	fruitcoin_9000001		taskaffter_20008
631	2122214	2122213	@@@	20007	21222141	9000001	232960	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20007	taskold_20007	taskaffter_20007	taskcomplete_20007	fruitcoin_9000001		taskaffter_20007
632	2122114	2122113	@@@	20003	21221141	9000001	179200	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20003	taskold_20003	taskaffter_20003	taskcomplete_20003	fruitcoin_9000001		taskaffter_20003
633	2120714	2120713	@@@	20002	21207141	9000001	232960	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20002	taskold_20002	taskaffter_20002	taskcomplete_20002	fruitcoin_9000001		taskaffter_20002
634	1120211	1120210	@@@	20009	11202111	9000001	454400	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20009	taskold_20009	taskaffter_20009	taskcomplete_20009	fruitcoin_9000001		taskaffter_20009
635	2120115	2120114	@@@	20008	21201151	1041004	100	set:bird_icon.json image:g1041_coin_15	gui_dialog_tip_btn_sure	tastlang_id_20008	taskold_20008	taskaffter_20008	taskcomplete_20008	fruitcoin_9000001		taskaffter_20008
636	2122215	2122214	@@@	20007	21222151	9000001	236280	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20007	taskold_20007	taskaffter_20007	taskcomplete_20007	fruitcoin_9000001		taskaffter_20007
637	2122115	2122114	@@@	20003	21221151	9000001	181760	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20003	taskold_20003	taskaffter_20003	taskcomplete_20003	fruitcoin_9000001		taskaffter_20003
638	2120715	2120714	@@@	20002	21207151	9000001	236280	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20002	taskold_20002	taskaffter_20002	taskcomplete_20002	fruitcoin_9000001		taskaffter_20002
639	1120212	1120211	@@@	20009	11202121	9000001	460800	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20009	taskold_20009	taskaffter_20009	taskcomplete_20009	fruitcoin_9000001		taskaffter_20009
640	2120116	2120115	@@@	20008	21201161	1041005	100	set:bird_icon.json image:g1041_coin_12	gui_dialog_tip_btn_sure	tastlang_id_20008	taskold_20008	taskaffter_20008	taskcomplete_20008	fruitcoin_9000001		taskaffter_20008
641	2122216	2122215	@@@	20007	21222161	9000001	239610	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20007	taskold_20007	taskaffter_20007	taskcomplete_20007	fruitcoin_9000001		taskaffter_20007
642	2122116	2122115	@@@	20003	21221161	9000001	184320	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20003	taskold_20003	taskaffter_20003	taskcomplete_20003	fruitcoin_9000001		taskaffter_20003
643	2120716	2120715	@@@	20002	21207161	9000001	239610	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20002	taskold_20002	taskaffter_20002	taskcomplete_20002	fruitcoin_9000001		taskaffter_20002
644	1120213	1120212	@@@	20009	11202131	9000001	467200	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20009	taskold_20009	taskaffter_20009	taskcomplete_20009	fruitcoin_9000001		taskaffter_20009
645	2120117	2120116	@@@	20008	21201171	1041001	400	set:bird_icon.json image:g1041_coin_09	gui_dialog_tip_btn_sure	tastlang_id_20008	taskold_20008	taskaffter_20008	taskcomplete_20008	fruitcoin_9000001		taskaffter_20008
646	2122217	2122216	@@@	20007	21222171	9000001	242940	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20007	taskold_20007	taskaffter_20007	taskcomplete_20007	fruitcoin_9000001		taskaffter_20007
647	2122117	2122116	@@@	20003	21221171	9000001	186880	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20003	taskold_20003	taskaffter_20003	taskcomplete_20003	fruitcoin_9000001		taskaffter_20003
648	2120717	2120716	@@@	20002	21207171	9000001	242940	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20002	taskold_20002	taskaffter_20002	taskcomplete_20002	fruitcoin_9000001		taskaffter_20002
649	1120604	1120213	@@@	20009	11206041	9000001	473600	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20009	taskold_20009	taskaffter_20009	taskcomplete_20009	fruitcoin_9000001		taskaffter_20009
650	2120118	2120117	@@@	20008	21201181	1041009	90	set:bird_icon.json image:g1041_coin_10	gui_dialog_tip_btn_sure	tastlang_id_20008	taskold_20008	taskaffter_20008	taskcomplete_20008	fruitcoin_9000001		taskaffter_20008
651	2122218	2122217	@@@	20007	21222181	9000001	246270	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20007	taskold_20007	taskaffter_20007	taskcomplete_20007	fruitcoin_9000001		taskaffter_20007
652	2122118	2122117	@@@	20003	21221181	9000001	189440	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20003	taskold_20003	taskaffter_20003	taskcomplete_20003	fruitcoin_9000001		taskaffter_20003
653	2120718	2120717	@@@	20002	21207181	9000001	246270	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20002	taskold_20002	taskaffter_20002	taskcomplete_20002	fruitcoin_9000001		taskaffter_20002
654	1120214	1120604	@@@	20009	11202141	9000001	480000	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20009	taskold_20009	taskaffter_20009	taskcomplete_20009	fruitcoin_9000001		taskaffter_20009
655	2120119	2120118	@@@	20008	21201191	1041010	55	set:bird_icon.json image:g1041_coin_13	gui_dialog_tip_btn_sure	tastlang_id_20008	taskold_20008	taskaffter_20008	taskcomplete_20008	fruitcoin_9000001		taskaffter_20008
656	2122219	2122218	@@@	20007	21222191	9000001	249600	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20007	taskold_20007	taskaffter_20007	taskcomplete_20007	fruitcoin_9000001		taskaffter_20007
657	2122119	2122118	@@@	20003	21221191	9000001	192000	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20003	taskold_20003	taskaffter_20003	taskcomplete_20003	fruitcoin_9000001		taskaffter_20003
658	2120719	2120718	@@@	20002	21207191	9000001	249600	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20002	taskold_20002	taskaffter_20002	taskcomplete_20002	fruitcoin_9000001		taskaffter_20002
659	1120215	1120214	@@@	20009	11202151	9000001	486400	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20009	taskold_20009	taskaffter_20009	taskcomplete_20009	fruitcoin_9000001		taskaffter_20009
660	2120120	2120119	@@@	20008	21201201	1041003	95	set:bird_icon.json image:g1041_coin_14	gui_dialog_tip_btn_sure	tastlang_id_20008	taskold_20008	taskaffter_20008	taskcomplete_20008	fruitcoin_9000001		taskaffter_20008
661	2122220	2122219	@@@	20007	21222201	9000001	252920	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20007	taskold_20007	taskaffter_20007	taskcomplete_20007	fruitcoin_9000001		taskaffter_20007
662	2122120	2122119	@@@	20003	21221201	9000001	194560	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20003	taskold_20003	taskaffter_20003	taskcomplete_20003	fruitcoin_9000001		taskaffter_20003
663	2120720	2120719	@@@	20002	21207201	9000001	252920	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20002	taskold_20002	taskaffter_20002	taskcomplete_20002	fruitcoin_9000001		taskaffter_20002
664	1120216	1120215	@@@	20009	11202161	9000001	492800	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20009	taskold_20009	taskaffter_20009	taskcomplete_20009	fruitcoin_9000001		taskaffter_20009
665	2120121	2120120	@@@	20008	21201211	1041004	105	set:bird_icon.json image:g1041_coin_15	gui_dialog_tip_btn_sure	tastlang_id_20008	taskold_20008	taskaffter_20008	taskcomplete_20008	fruitcoin_9000001		taskaffter_20008
666	2122221	2122220	@@@	20007	21222211	9000001	256250	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20007	taskold_20007	taskaffter_20007	taskcomplete_20007	fruitcoin_9000001		taskaffter_20007
667	2122121	2122120	@@@	20003	21221211	9000001	197120	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20003	taskold_20003	taskaffter_20003	taskcomplete_20003	fruitcoin_9000001		taskaffter_20003
668	2120721	2120720	@@@	20002	21207211	9000001	256250	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20002	taskold_20002	taskaffter_20002	taskcomplete_20002	fruitcoin_9000001		taskaffter_20002
669	1120217	1120216	@@@	20009	11202171	9000001	499200	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20009	taskold_20009	taskaffter_20009	taskcomplete_20009	fruitcoin_9000001		taskaffter_20009
670	2120122	2120121	@@@	20008	21201221	1041005	105	set:bird_icon.json image:g1041_coin_12	gui_dialog_tip_btn_sure	tastlang_id_20008	taskold_20008	taskaffter_20008	taskcomplete_20008	fruitcoin_9000001		taskaffter_20008
671	2122222	2122221	@@@	20007	21222221	9000001	259580	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20007	taskold_20007	taskaffter_20007	taskcomplete_20007	fruitcoin_9000001		taskaffter_20007
672	2122122	2122121	@@@	20003	21221221	9000001	199680	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20003	taskold_20003	taskaffter_20003	taskcomplete_20003	fruitcoin_9000001		taskaffter_20003
673	2120722	2120721	@@@	20002	21207221	9000001	259580	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20002	taskold_20002	taskaffter_20002	taskcomplete_20002	fruitcoin_9000001		taskaffter_20002
674	1130501	1120217	@@@	20009	11305011	9000001#9000002	550000#130	set:bird_icon.json image:storeitem_02#set:bird_icon.json image:storeitem_01	gui_dialog_tip_btn_sure	tastlang_id_20009	taskold_20009	taskaffter_20009	taskcomplete_20009	fruitcoin_9000001#fruitcoin_9000002		taskaffter_20009
675	2130101	2120122	@@@	20008	21301011	1041006	105	set:bird_icon.json image:g1041_coin_11	gui_dialog_tip_btn_sure	tastlang_id_20008	taskold_20008	taskaffter_20008	taskcomplete_20008	fruitcoin_9000001		taskaffter_20008
676	2132201	2122222	@@@	20007	21322011	9000001	259580	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20007	taskold_20007	taskaffter_20007	taskcomplete_20007	fruitcoin_9000001		taskaffter_20007
677	2132101	2122122	@@@	20003	21321011	9000001	199680	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20003	taskold_20003	taskaffter_20003	taskcomplete_20003	fruitcoin_9000001		taskaffter_20003
678	2130701	2120722	@@@	20002	21307011	9000001	259580	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20002	taskold_20002	taskaffter_20002	taskcomplete_20002	fruitcoin_9000001		taskaffter_20002
679	1130601	1130501	@@@	20009	11306011	9000001	492800	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20009	taskold_20009	taskaffter_20009	taskcomplete_20009	fruitcoin_9000001		taskaffter_20009
680	2130102	2130101	@@@	20008	21301021	1041009	95	set:bird_icon.json image:g1041_coin_10	gui_dialog_tip_btn_sure	tastlang_id_20008	taskold_20008	taskaffter_20008	taskcomplete_20008	fruitcoin_9000001		taskaffter_20008
681	2132202	2132201	@@@	20007	21322021	9000001	256250	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20007	taskold_20007	taskaffter_20007	taskcomplete_20007	fruitcoin_9000001		taskaffter_20007
682	2132102	2132101	@@@	20003	21321021	9000001	197120	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20003	taskold_20003	taskaffter_20003	taskcomplete_20003	fruitcoin_9000001		taskaffter_20003
683	2130702	2130701	@@@	20002	21307021	9000001	256250	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20002	taskold_20002	taskaffter_20002	taskcomplete_20002	fruitcoin_9000001		taskaffter_20002
684	1130201	1130601	@@@	20009	11302011	9000001	494720	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20009	taskold_20009	taskaffter_20009	taskcomplete_20009	fruitcoin_9000001		taskaffter_20009
685	2130103	2130102	@@@	20008	21301031	1041010	60	set:bird_icon.json image:g1041_coin_13	gui_dialog_tip_btn_sure	tastlang_id_20008	taskold_20008	taskaffter_20008	taskcomplete_20008	fruitcoin_9000001		taskaffter_20008
686	2132203	2132202	@@@	20007	21322031	9000001	257250	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20007	taskold_20007	taskaffter_20007	taskcomplete_20007	fruitcoin_9000001		taskaffter_20007
687	2132103	2132102	@@@	20003	21321031	9000001	197890	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20003	taskold_20003	taskaffter_20003	taskcomplete_20003	fruitcoin_9000001		taskaffter_20003
688	2130703	2130702	@@@	20002	21307031	9000001	257250	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20002	taskold_20002	taskaffter_20002	taskcomplete_20002	fruitcoin_9000001		taskaffter_20002
689	1130202	1130201	@@@	20009	11302021	9000001	496640	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20009	taskold_20009	taskaffter_20009	taskcomplete_20009	fruitcoin_9000001		taskaffter_20009
690	2130104	2130103	@@@	20008	21301041	1041001	420	set:bird_icon.json image:g1041_coin_09	gui_dialog_tip_btn_sure	tastlang_id_20008	taskold_20008	taskaffter_20008	taskcomplete_20008	fruitcoin_9000001		taskaffter_20008
691	2132204	2132203	@@@	20007	21322041	9000001	258250	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20007	taskold_20007	taskaffter_20007	taskcomplete_20007	fruitcoin_9000001		taskaffter_20007
692	2132104	2132103	@@@	20003	21321041	9000001	198660	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20003	taskold_20003	taskaffter_20003	taskcomplete_20003	fruitcoin_9000001		taskaffter_20003
693	2130704	2130703	@@@	20002	21307041	9000001	258250	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20002	taskold_20002	taskaffter_20002	taskcomplete_20002	fruitcoin_9000001		taskaffter_20002
694	1130203	1130202	@@@	20009	11302031	9000001	498560	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20009	taskold_20009	taskaffter_20009	taskcomplete_20009	fruitcoin_9000001		taskaffter_20009
695	2130105	2130104	@@@	20008	21301051	1041004	110	set:bird_icon.json image:g1041_coin_15	gui_dialog_tip_btn_sure	tastlang_id_20008	taskold_20008	taskaffter_20008	taskcomplete_20008	fruitcoin_9000001		taskaffter_20008
696	2132205	2132204	@@@	20007	21322051	9000001	259240	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20007	taskold_20007	taskaffter_20007	taskcomplete_20007	fruitcoin_9000001		taskaffter_20007
697	2132105	2132104	@@@	20003	21321051	9000001	199420	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20003	taskold_20003	taskaffter_20003	taskcomplete_20003	fruitcoin_9000001		taskaffter_20003
698	2130705	2130704	@@@	20002	21307051	9000001	259240	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20002	taskold_20002	taskaffter_20002	taskcomplete_20002	fruitcoin_9000001		taskaffter_20002
699	1130204	1130203	@@@	20009	11302041	9000001	500480	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20009	taskold_20009	taskaffter_20009	taskcomplete_20009	fruitcoin_9000001		taskaffter_20009
700	2130106	2130105	@@@	20008	21301061	1041005	110	set:bird_icon.json image:g1041_coin_12	gui_dialog_tip_btn_sure	tastlang_id_20008	taskold_20008	taskaffter_20008	taskcomplete_20008	fruitcoin_9000001		taskaffter_20008
701	2132206	2132205	@@@	20007	21322061	9000001	260240	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20007	taskold_20007	taskaffter_20007	taskcomplete_20007	fruitcoin_9000001		taskaffter_20007
702	2132106	2132105	@@@	20003	21321061	9000001	200190	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20003	taskold_20003	taskaffter_20003	taskcomplete_20003	fruitcoin_9000001		taskaffter_20003
